identical,similar,new,deleted,simiScore
service,com.google.android.datatransport.runtime.scheduling.jobscheduling.JobInfoSchedulerService,0,1,0
service,com.google.android.play.core.assetpacks.AssetPackExtractionService,0,1,0
service,cn.wps.moffice.common.comptexit.view.controller.BackLocalUploadServices,0,1,0
service,com.paytm.pgsdk.IntentServicePreNotification,0,1,0
service,cn.wps.moffice.wakeup.SelfWakeupService,0,1,0
service,com.google.firebase.components.ComponentDiscoveryService,0,1,0
service,cn.wps.moffice.bundle.SplitInstallService,0,1,0
service,com.google.firebase.messaging.FirebaseMessagingService,0,1,0
service,cn.wps.moffice.main.gcm.MyGcmListenerService,0,1,0
receiver,com.google.android.gms.measurement.AppMeasurementInstallReferrerReceiver,0,1,0
receiver,com.facebook.CurrentAccessTokenExpirationBroadcastReceiver,0,1,0
receiver,com.google.android.datatransport.runtime.scheduling.jobscheduling.AlarmManagerSchedulerBroadcastReceiver,0,1,0
receiver,com.facebook.AuthenticationTokenManager$CurrentAuthenticationTokenChangedBroadcastReceiver,0,1,0
receiver,com.google.firebase.iid.FirebaseInstanceIdInternalReceiver,0,1,0
receiver,com.google.firebase.iid.FirebaseInstanceIdReceiver,0,1,0
receiver,com.google.android.gms.measurement.AppMeasurementReceiver,0,1,0
receiver,cn.wps.moffice.privacy.PrivacyReceiver,0,1,0
provider,com.google.firebase.provider.FirebaseInitProvider,0,1,0
provider,com.squareup.picasso.PicassoProvider,0,1,0
provider,cn.wps.moffice.docer.OvsFileProvider,0,1,0
provider,com.google.android.gms.ads.MobileAdsInitProvider,0,1,0
provider,com.google.mlkit.common.internal.MlKitInitProvider,0,1,0
provider,com.facebook.ads.AudienceNetworkContentProvider,0,1,0
